epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,95.7754,0.95061,1.16417,1.94776,0.00842,1.94302,0.61943,0.6286,0.66197,0.52003,0.61664,0.62979,0.66337,0.54146,0.85026,0.66937,1.31224,0.01573,0,0.000331502,0.000331502,0.0671813
2,162.397,0.82552,0.88969,1.09369,0.00749,0.86349,0.74421,0.72322,0.80078,0.6578,0.74659,0.72555,0.80169,0.67033,0.66618,0.62303,0.9823,0.01155,0,0.000664795,0.000664795,0.0341813
3,228.074,0.76631,0.80555,0.89519,0.00686,0.67607,0.72648,0.72581,0.79874,0.66396,0.72045,0.72006,0.7887,0.66257,0.66535,0.7386,0.71649,0.01198,0,0.000997925,0.000997925,0.00118107
4,293.809,0.76575,0.77465,0.83212,0.00714,0.68418,0.81668,0.73941,0.85265,0.74515,0.81299,0.73654,0.84769,0.72696,0.49698,0.62969,0.70627,0.00833,0,0.00099945,0.00099945,0.00099945
5,360.287,0.72444,0.81902,0.77516,0.00657,0.59723,0.80145,0.8233,0.87848,0.74171,0.80692,0.81179,0.87286,0.73064,0.60816,0.62753,0.59906,0.01075,0,0.000999023,0.000999023,0.000999023
6,426.313,0.7301,0.71316,0.72605,0.00645,0.58911,0.79773,0.86592,0.87333,0.73112,0.786,0.85388,0.86256,0.72087,0.61607,0.45268,0.59265,0.01131,0,0.000998474,0.000998474,0.000998474
7,499.098,0.6829,0.71571,0.71401,0.00609,0.57282,0.80099,0.83595,0.89039,0.79551,0.79793,0.82555,0.87871,0.76178,0.45717,0.60792,0.56245,0.00793,0,0.000997803,0.000997803,0.000997803
8,567.153,0.6879,0.71161,0.68021,0.00598,0.51738,0.80436,0.85614,0.88326,0.75513,0.80222,0.84942,0.87148,0.75391,0.57425,0.59071,0.56282,0.01027,0,0.000997011,0.000997011,0.000997011
9,635.786,0.68966,0.66787,0.66362,0.00607,0.51447,0.88436,0.84019,0.91211,0.81767,0.87781,0.83444,0.9057,0.77977,0.46547,0.59765,0.41705,0.00777,0,0.000996097,0.000996097,0.000996097
10,705.583,0.66579,0.67873,0.63397,0.00583,0.5199,0.84078,0.83677,0.88749,0.7691,0.83889,0.83334,0.89015,0.74482,0.57047,0.56032,0.53315,0.009,0,0.000995062,0.000995062,0.000995062
11,774.045,0.66772,0.67263,0.60406,0.00576,0.46852,0.84165,0.86208,0.89895,0.78177,0.82703,0.84771,0.87517,0.74032,0.50561,0.55376,0.49219,0.00877,0,0.000993906,0.000993906,0.000993906
12,842.53,0.66834,0.65149,0.58729,0.0059,0.46226,0.80709,0.89205,0.91256,0.79338,0.80045,0.88343,0.90122,0.78519,0.52361,0.39912,0.46594,0.00858,0,0.000992629,0.000992629,0.000992629
13,911.327,0.65589,0.6744,0.57311,0.00585,0.46675,0.88545,0.86139,0.9216,0.78873,0.86498,0.84813,0.90639,0.76915,0.61645,0.58739,0.46875,0.01099,0,0.000991232,0.000991232,0.000991232
14,979.72,0.65368,0.66936,0.57595,0.00593,0.41584,0.85146,0.86598,0.92037,0.81017,0.83001,0.85879,0.90436,0.77558,0.50451,0.60658,0.42507,0.00881,0,0.000989715,0.000989715,0.000989715
15,1047.18,0.64239,0.59647,0.58287,0.00548,0.46862,0.7725,0.80565,0.78024,0.67131,0.76286,0.80874,0.77461,0.65458,0.58262,0.62671,0.83316,0.01117,0,0.000988079,0.000988079,0.000988079
16,1116.29,0.64149,0.63788,0.54941,0.00555,0.46633,0.834,0.82692,0.90087,0.77273,0.83182,0.79449,0.88334,0.74376,0.63805,0.97387,0.61491,0.01302,0,0.000986323,0.000986323,0.000986323
17,1186.18,0.61519,0.61215,0.53294,0.00532,0.3908,0.82884,0.89821,0.9127,0.82094,0.8199,0.88097,0.90122,0.7731,0.46364,0.62502,0.37914,0.0076,0,0.000984449,0.000984449,0.000984449
18,1252.12,0.62256,0.63446,0.52498,0.00537,0.36391,0.87444,0.86208,0.92064,0.83046,0.86645,0.85634,0.91311,0.79857,0.47181,0.53798,0.42132,0.00854,0,0.000982456,0.000982456,0.000982456
19,1320.66,0.61397,0.65194,0.52349,0.0053,0.39117,0.89761,0.85564,0.93001,0.84688,0.89192,0.84416,0.92091,0.79052,0.41659,0.51354,0.4044,0.00692,0,0.000980345,0.000980345,0.000980345
